"displacement0","displacement1","pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-7.2906e-34,-0.0039049,223.5,1,0.91,0,0.91,0
-2.075e-33,-0.0041909,149,1,0.92,0,0.92,0
-3.5672e-33,-0.0044677,86.915,1,0.93,0,0.93,0
-5.2093e-33,-0.0047351,37.249,1,0.94,0,0.94,0
-7.0051e-33,-0.0049932,9.6495e-13,1,0.95,0,0.95,0
-8.9585e-33,-0.0052419,-24.833,1,0.96,0,0.96,0
-1.1073e-32,-0.0054814,-37.249,1,0.97,0,0.97,0
-1.3353e-32,-0.0057116,-37.249,1,0.98,0,0.98,0
-1.5801e-32,-0.0059324,-24.833,1,0.99,0,0.99,0
-1.8422e-32,-0.006144,0,1,1,0,1,0
