"displacement0","displacement:1","pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-5.6983e-18,-0.05,654.98,1,0,0,1,0
0.00025631,-0.05,419.17,1,0.01,0.01,1,1.2246e-18
0.000512,-0.05,235.76,1,0.02,0.02,1,2.4493e-18
0.00076706,-0.05,104.77,1,0.03,0.03,1,3.6739e-18
0.0010215,-0.05,26.178,1,0.04,0.04,1,4.8986e-18
0.0012753,-0.05,0,1,0.05,0.05,1,6.1232e-18
0.0015284,-0.05,26.231,1,0.06,0.06,1,7.3479e-18
0.001781,-0.05,104.87,1,0.07,0.07,1,8.5725e-18
0.0020329,-0.05,235.92,1,0.08,0.08,1,9.7972e-18
0.0022842,-0.05,419.38,1,0.09,0.09,1,1.1022e-17
0.0025348,-0.05,655.25,1,0.1,0.1,1,1.2246e-17
0.0027851,-0.05,419.43,1,0.11,0.11,1,1.3471e-17
0.0030351,-0.05,235.99,1,0.12,0.12,1,1.4696e-17
0.0032846,-0.05,104.94,1,0.13,0.13,1,1.592e-17
0.0035337,-0.05,26.278,1,0.14,0.14,1,1.7145e-17
0.0037825,-0.05,0,1,0.15,0.15,1,1.837e-17
0.0040308,-0.05,26.108,1,0.16,0.16,1,1.9594e-17
0.0042788,-0.05,104.6,1,0.17,0.17,1,2.0819e-17
0.0045263,-0.05,235.48,1,0.18,0.18,1,2.2044e-17
0.0047735,-0.05,418.75,1,0.19,0.19,1,2.3268e-17
0.0050203,-0.05,654.4,1,0.2,0.2,1,2.4493e-17
0.0052646,-0.05,419.38,1,0.21,0.21,1,2.5718e-17
0.0055088,-0.05,236.43,1,0.22,0.22,1,2.6942e-17
0.0057528,-0.05,105.55,1,0.23,0.23,1,2.8167e-17
0.0059968,-0.05,26.737,1,0.24,0.24,1,2.9392e-17
0.0062406,-0.05,0,1,0.25,0.25,1,3.0616e-17
0.0064843,-0.05,25.335,1,0.26,0.26,1,3.1841e-17
0.0067279,-0.05,102.74,1,0.27,0.27,1,3.3065e-17
0.0069714,-0.05,232.22,1,0.28,0.28,1,3.429e-17
0.0072148,-0.05,413.77,1,0.29,0.29,1,3.5515e-17
0.007458,-0.05,647.39,1,0.3,0.3,1,3.6739e-17
0.0076937,-0.05,415.85,1,0.31,0.31,1,3.7964e-17
0.0079298,-0.05,235.35,1,0.32,0.32,1,3.9189e-17
0.0081662,-0.05,105.87,1,0.33,0.33,1,4.0413e-17
0.0084029,-0.05,27.421,1,0.34,0.34,1,4.1638e-17
0.00864,-0.05,0,1,0.35,0.35,1,4.2863e-17
0.0088775,-0.05,23.607,1,0.36,0.36,1,4.4087e-17
0.0091153,-0.05,98.242,1,0.37,0.37,1,4.5312e-17
0.0093534,-0.05,223.91,1,0.38,0.38,1,4.6537e-17
0.009592,-0.05,400.6,1,0.39,0.39,1,4.7761e-17
0.0098308,-0.05,628.32,1,0.4,0.4,1,4.8986e-17
0.010054,-0.05,405.13,1,0.41,0.41,1,5.0211e-17
0.010277,-0.05,230.71,1,0.42,0.42,1,5.1435e-17
0.010502,-0.05,105.04,1,0.43,0.43,1,5.266e-17
0.010728,-0.05,28.141,1,0.44,0.44,1,5.3884e-17
0.010955,-0.05,0,1,0.45,0.45,1,5.5109e-17
0.011183,-0.05,20.621,1,0.46,0.46,1,5.6334e-17
0.011412,-0.05,90.002,1,0.47,0.47,1,5.7558e-17
0.011642,-0.05,208.15,1,0.48,0.48,1,5.8783e-17
0.011873,-0.05,375.05,1,0.49,0.49,1,6.0008e-17
