"displacement0","displacement:1","pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2.5361e-18,-0.05,60.309,1,0,0,1,0
0.00011418,-0.05,38.658,1,0.01,0.01,1,1.2246e-18
0.00022828,-0.05,21.801,1,0.02,0.02,1,2.4493e-18
0.00034229,-0.05,9.739,1,0.03,0.03,1,3.6739e-18
0.00045623,-0.05,2.472,1,0.04,0.04,1,4.8986e-18
0.0005701,-0.05,0,1,0.05,0.05,1,6.1232e-18
0.00068388,-0.05,2.3229,1,0.06,0.06,1,7.3479e-18
0.00079758,-0.05,9.4408,1,0.07,0.07,1,8.5725e-18
0.00091121,-0.05,21.354,1,0.08,0.08,1,9.7972e-18
0.0010248,-0.05,38.061,1,0.09,0.09,1,1.1022e-17
0.0011382,-0.05,59.564,1,0.1,0.1,1,1.2246e-17
0.0012509,-0.05,38.298,1,0.11,0.11,1,1.3471e-17
0.0013636,-0.05,21.708,1,0.12,0.12,1,1.4696e-17
0.0014763,-0.05,9.7952,1,0.13,0.13,1,1.592e-17
0.001589,-0.05,2.5592,1,0.14,0.14,1,1.7145e-17
0.0017018,-0.05,0,1,0.15,0.15,1,1.837e-17
0.0018145,-0.05,2.1176,1,0.16,0.16,1,1.9594e-17
0.0019273,-0.05,8.9119,1,0.17,0.17,1,2.0819e-17
0.0020401,-0.05,20.383,1,0.18,0.18,1,2.2044e-17
0.002153,-0.05,36.531,1,0.19,0.19,1,2.3268e-17
0.0022658,-0.05,57.356,1,0.2,0.2,1,2.4493e-17
0.002377,-0.05,36.994,1,0.21,0.21,1,2.5718e-17
0.0024883,-0.05,21.078,1,0.22,0.22,1,2.6942e-17
0.0025997,-0.05,9.6066,1,0.23,0.23,1,2.8167e-17
0.0027112,-0.05,2.5807,1,0.24,0.24,1,2.9392e-17
0.0028227,-0.05,0,1,0.25,0.25,1,3.0616e-17
0.0029344,-0.05,1.8645,1,0.26,0.26,1,3.1841e-17
0.0030461,-0.05,8.1743,1,0.27,0.27,1,3.3065e-17
0.0031579,-0.05,18.929,1,0.28,0.28,1,3.429e-17
0.0032698,-0.05,34.13,1,0.29,0.29,1,3.5515e-17
0.0033818,-0.05,53.775,1,0.3,0.3,1,3.6739e-17
0.0034914,-0.05,34.804,1,0.31,0.31,1,3.7964e-17
0.0036012,-0.05,19.942,1,0.32,0.32,1,3.9189e-17
0.0037111,-0.05,9.1866,1,0.33,0.33,1,4.0413e-17
0.0038211,-0.05,2.5394,1,0.34,0.34,1,4.1638e-17
0.0039313,-0.05,0,1,0.35,0.35,1,4.2863e-17
0.0040416,-0.05,1.5684,1,0.36,0.36,1,4.4087e-17
0.0041521,-0.05,7.2447,1,0.37,0.37,1,4.5312e-17
0.0042627,-0.05,17.029,1,0.38,0.38,1,4.6537e-17
