"displacement0","displacement:1","pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-5.5659e-18,-0.05,627.07,1,0,0,1,0
0.00025061,-0.05,401.23,1,0.01,0.01,1,1.2246e-18
0.0005011,-0.05,225.6,1,0.02,0.02,1,2.4493e-18
0.00075147,-0.05,100.19,1,0.03,0.03,1,3.6739e-18
0.0010017,-0.05,24.988,1,0.04,0.04,1,4.8986e-18
0.0012519,-0.05,0,1,0.05,0.05,1,6.1232e-18
0.0015019,-0.05,25.225,1,0.06,0.06,1,7.3479e-18
0.0017518,-0.05,100.66,1,0.07,0.07,1,8.5725e-18
0.0020016,-0.05,226.31,1,0.08,0.08,1,9.7972e-18
0.0022513,-0.05,402.18,1,0.09,0.09,1,1.1022e-17
0.0025008,-0.05,628.26,1,0.1,0.1,1,1.2246e-17
0.0027516,-0.05,401.81,1,0.11,0.11,1,1.3471e-17
0.0030021,-0.05,225.76,1,0.12,0.12,1,1.4696e-17
0.0032525,-0.05,100.11,1,0.13,0.13,1,1.592e-17
0.0035026,-0.05,24.858,1,0.14,0.14,1,1.7145e-17
0.0037526,-0.05,0,1,0.15,0.15,1,1.837e-17
0.0040023,-0.05,25.539,1,0.16,0.16,1,1.9594e-17
0.0042519,-0.05,101.48,1,0.17,0.17,1,2.0819e-17
0.0045013,-0.05,227.81,1,0.18,0.18,1,2.2044e-17
0.0047505,-0.05,404.54,1,0.19,0.19,1,2.3268e-17
0.0049995,-0.05,631.67,1,0.2,0.2,1,2.4493e-17
0.0052503,-0.05,403.99,1,0.21,0.21,1,2.5718e-17
0.005501,-0.05,226.98,1,0.22,0.22,1,2.6942e-17
0.0057515,-0.05,100.64,1,0.23,0.23,1,2.8167e-17
0.0060017,-0.05,24.985,1,0.24,0.24,1,2.9392e-17
0.0062518,-0.05,0,1,0.25,0.25,1,3.0616e-17
0.0065016,-0.05,25.689,1,0.26,0.26,1,3.1841e-17
0.0067512,-0.05,102.05,1,0.27,0.27,1,3.3065e-17
0.0070007,-0.05,229.09,1,0.28,0.28,1,3.429e-17
0.0072499,-0.05,406.8,1,0.29,0.29,1,3.5515e-17
0.0074989,-0.05,635.19,1,0.3,0.3,1,3.6739e-17
0.0077498,-0.05,406.25,1,0.31,0.31,1,3.7964e-17
0.0080005,-0.05,228.26,1,0.32,0.32,1,3.9189e-17
0.008251,-0.05,101.22,1,0.33,0.33,1,4.0413e-17
0.0085013,-0.05,25.133,1,0.34,0.34,1,4.1638e-17
0.0087514,-0.05,0,1,0.35,0.35,1,4.2863e-17
0.0090013,-0.05,25.819,1,0.36,0.36,1,4.4087e-17
0.0092509,-0.05,102.59,1,0.37,0.37,1,4.5312e-17
0.0095004,-0.05,230.31,1,0.38,0.38,1,4.6537e-17
0.0097497,-0.05,408.99,1,0.39,0.39,1,4.7761e-17
0.0099987,-0.05,638.61,1,0.4,0.4,1,4.8986e-17
0.01025,-0.05,408.43,1,0.41,0.41,1,5.0211e-17
0.0105,-0.05,229.48,1,0.42,0.42,1,5.1435e-17
0.010751,-0.05,101.76,1,0.43,0.43,1,5.266e-17
0.011001,-0.05,25.263,1,0.44,0.44,1,5.3884e-17
0.011251,-0.05,0,1,0.45,0.45,1,5.5109e-17
0.011501,-0.05,25.966,1,0.46,0.46,1,5.6334e-17
0.011751,-0.05,103.16,1,0.47,0.47,1,5.7558e-17
0.012,-0.05,231.59,1,0.48,0.48,1,5.8783e-17
0.01225,-0.05,411.24,1,0.49,0.49,1,6.0008e-17
0.012499,-0.05,642.13,1,0.5,0.5,1,6.1232e-17
0.012749,-0.05,410.76,1,0.51,0.51,1,6.2457e-17
0.013,-0.05,230.87,1,0.52,0.52,1,6.3682e-17
0.01325,-0.05,102.44,1,0.53,0.53,1,6.4906e-17
0.0135,-0.05,25.487,1,0.54,0.54,1,6.6131e-17
0.01375,-0.05,0,1,0.55,0.55,1,6.7356e-17
0.014,-0.05,25.983,1,0.56,0.56,1,6.858e-17
0.01425,-0.05,103.43,1,0.57,0.57,1,6.9805e-17
0.014499,-0.05,232.36,1,0.58,0.58,1,7.103e-17
0.014749,-0.05,412.75,1,0.59,0.59,1,7.2254e-17
0.014998,-0.05,644.61,1,0.6,0.6,1,7.3479e-17
0.015249,-0.05,412.02,1,0.61,0.61,1,7.4703e-17
0.015501,-0.05,231.26,1,0.62,0.62,1,7.5928e-17
0.015752,-0.05,102.34,1,0.63,0.63,1,7.7153e-17
0.016002,-0.05,25.255,1,0.64,0.64,1,7.8377e-17
0.016253,-0.05,0,1,0.65,0.65,1,7.9602e-17
0.016503,-0.05,26.579,1,0.66,0.66,1,8.0827e-17
0.016752,-0.05,104.99,1,0.67,0.67,1,8.2051e-17
0.017002,-0.05,235.23,1,0.68,0.68,1,8.3276e-17
0.017251,-0.05,417.31,1,0.69,0.69,1,8.4501e-17
0.0175,-0.05,651.22,1,0.7,0.7,1,8.5725e-17
0.017754,-0.05,415.83,1,0.71,0.71,1,8.695e-17
0.018007,-0.05,233,1,0.72,0.72,1,8.8175e-17
0.01826,-0.05,102.76,1,0.73,0.73,1,8.9399e-17
0.018513,-0.05,25.092,1,0.74,0.74,1,9.0624e-17
0.018765,-0.05,0,1,0.75,0.75,1,9.1849e-17
0.019017,-0.05,27.484,1,0.76,0.76,1,9.3073e-17
0.019268,-0.05,107.55,1,0.77,0.77,1,9.4298e-17
0.019518,-0.05,240.18,1,0.78,0.78,1,9.5522e-17
0.019769,-0.05,425.4,1,0.79,0.79,1,9.6747e-17
0.020018,-0.05,663.19,1,0.8,0.8,1,9.7972e-17
0.020231,-0.05,435.79,1,0.81,0.81,1,9.9196e-17
0.020449,-0.05,255.78,1,0.82,0.82,1,1.0042e-16
0.020671,-0.05,123.14,1,0.83,0.83,1,1.0165e-16
0.020897,-0.05,37.881,1,0.84,0.84,1,1.0287e-16
0.021127,-0.05,0,1,0.85,0.85,1,1.0409e-16
0.021362,-0.05,9.498,1,0.86,0.86,1,1.0532e-16
0.021601,-0.05,66.374,1,0.87,0.87,1,1.0654e-16
0.021845,-0.05,170.63,1,0.88,0.88,1,1.0777e-16
0.022093,-0.05,322.26,1,0.89,0.89,1,1.0899e-16
0.022345,-0.05,521.27,1,0.9,0.9,1,1.1022e-16
0.02241,-0.05,375.32,1,0.91,0.91,1,1.1144e-16
0.022492,-0.05,250.21,1,0.92,0.92,1,1.1267e-16
0.022591,-0.05,145.96,1,0.93,0.93,1,1.1389e-16
0.022706,-0.05,62.553,1,0.94,0.94,1,1.1512e-16
0.022838,-0.05,0,1,0.95,0.95,1,1.1634e-16
0.022986,-0.05,-41.702,1,0.96,0.96,1,1.1757e-16
0.023151,-0.05,-62.553,1,0.97,0.97,1,1.1879e-16
0.023333,-0.05,-62.553,1,0.98,0.98,1,1.2002e-16
0.023532,-0.05,-41.702,1,0.99,0.99,1,1.2124e-16
0.023747,-0.05,0,1,1,1,1,1.2246e-16
