"displacement0","displacement:1","pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0089534,-0.05,0.39959,1,0.89,0.89,1,1.0899e-16
0.0090536,-0.05,0.70884,1,0.9,0.9,1,1.1022e-16
0.0091534,-0.05,0.51036,1,0.91,0.91,1,1.1144e-16
0.0092533,-0.05,0.34024,1,0.92,0.92,1,1.1267e-16
0.0093532,-0.05,0.19847,1,0.93,0.93,1,1.1389e-16
0.0094531,-0.05,0.08506,1,0.94,0.94,1,1.1512e-16
0.009553,-0.05,0,1,0.95,0.95,1,1.1634e-16
0.0096529,-0.05,-0.056707,1,0.96,0.96,1,1.1757e-16
0.0097529,-0.05,-0.085061,1,0.97,0.97,1,1.1879e-16
0.0098529,-0.05,-0.08506,1,0.98,0.98,1,1.2002e-16
0.009953,-0.05,-0.056707,1,0.99,0.99,1,1.2124e-16
0.010053,-0.05,0,1,1,1,1,1.2246e-16
